ROOM INDEX,ROOM LAYOUT,CAP
1,1,86
2,1,35
3,1,33
4,2,313
5,2,88
6,2,164
7,2,200
8,2,135
9,1,40
10,1,54
11,2,195
12,1,25
13,2,94
14,2,230
15,1,36
16,4,72
17,1,62
18,3,14
19,4,24
20,4,24
21,4,84
22,1,30
23,1,50
24,1,39
25,4,48
26,1,42
27,1,50
28,1,50
29,2,38
30,2,52
31,1,60
32,2,197
33,2,150
34,2,104
35,1,68
36,3,20
37,1,24
38,4,90
39,4,60
40,1,20
41,1,20
42,1,19
43,1,20
44,1,46
45,1,28
46,1,20
47,1,24
48,2,105
49,2,400
50,2,300
51,2,132
52,2,60
53,2,150
54,2,300
55,2,112
56,1,50
57,1,58
58,2,374
